file,name
spec_5in1tetris,俄罗斯方块 5 合 1
msx_50metres,50 米 (自制)
md_6pak,6 合 1 (美版)
600,600
64streetja,"64 街 - 一个侦探的故事 (日版, 替换版)"
64streetj,"64 街 - 一个侦探的故事 (日版, 第 1 套)"
64street,64 街 - 一个侦探的故事 (世界版)
md_688atsub,"猎杀潜艇 (欧版, 美版)"
7ordi,7 张牌 (韩版)
spec_720deg,720 度滑板 (48K)
nes_720degrees,滑板小子 (美版)
spec_750cc,750cc 大奖赛 (128K)
nes_8eyes,8 只眼 (美版)
nes_8bitpics,8 位插图 (自制)
nes_8bitmusic,8 位音乐力量 (自制)
nes_8bitmusice,8 位音乐力量 - 加演 (自制)
nes_8bitrhylan,8 位 节奏之地 (自制)
800fath,海底潜航 - 800 海里
800fatha,海底潜航 - 800 海里 (较旧版)
spec_911ts,保时捷 911 TurboS
sms_94swc,94 超级世界杯足球赛 (韩版)
md_bugslife,虫虫危机
md_bugslifea,虫虫危机 (替换版?)
md_dinotale,恐龙传说 (美版)
msx_m36,生命行星 - M36 - 活着的母脑 (日版)
msx_anaza,阿娜扎 - 万花筒特别版 (日版)
nes_atrainj,A 列车 (日版)
nes_atrain,A 列车 (英语翻译)
md_aresshmd,A 列车 MD (日版)
spec_verysheepyxmas,一个非常讨厌的圣诞节 (自制)
ablast,企鹅爆破 (日版)
abcopjd,"宇宙骑警 (日版, FD1094 317-0169b 解密版)"
abcopj,"宇宙骑警 (日版, FD1094 317-0169b)"
abcopd,"宇宙骑警 (世界版, FD1094 317-0169b 解密版)"
abcop,"宇宙骑警 (世界版, FD1094 317-0169b)"
ad2083,太空核战 2083
msx_ae,防御炮台 (日版)
cv_ae,反环境 (遭遇)(自制)
msx_a1spirit,A1 精神 - 一级方程式之路 (日版)
md_aaharima,播磨滩相扑 (日版)
gg_aaharima,播磨滩相扑 (日版)
md_aaahhrm,怪物三人行 (欧版)
md_aaahhrmu,怪物三人行 (美版)
spec_aaargh,唉
msx_aaargh,怒战 (西班牙版)
nes_abadox,阿巴多斯 - 致命的内战 (美版)
abscam,食鬼先生
msx_abusimbel,阿布辛贝勒渎神
spec_abusimpr,阿布辛贝亵神 (48K)
spec_abusimprd,阿布辛贝亵神 (西班牙版)(48K)
aceattac,王牌攻击 (FD1094 317-0059)
aceattaca,"王牌攻击 (日版, 系统 16A, FD1094 317-0060)"
msx_acegun,枪王 (自制)
spec_aceofaces,王中王 (128K)
sms_aceoface,王中王 (欧版)
acrobatm,风云战机
dogfgt,空中特技大混战
dogfgtu,空中特技大混战 (美版)
actfancrj,战斗机器 (日版 修正版 1)
actfancr1,战斗机器 (世界版 修正版 1)
actfancr2,战斗机器 (世界版 修正版 2)
actfancr,战斗机器 (世界版 修正版 3)
md_action52s,动作 52 合 1 (西班牙语翻译)
md_action52,动作 52 合 1 (美版)
nes_action52,52 合 1 (美版)
md_action52a,"动作 52 合 1 (美版, 替换版)"
nes_actio53vol1stbu,53 合 1 卷1 超强应急小队 - Zeta (自制)
nes_actio53vol2doac,53 合 1 卷2 双重操作 (自制)
nes_actio53vol3retw,53 合 1 卷3 双子的复仇 (自制)
spec_afighter,战斗任务 (128K)
spec_afighter_48,战斗任务 (48K)
sms_actionfg1,"战斗任务 (欧版, 日版, 版本 1)"
sms_actionfg,"战斗任务 (欧版, 美版, 巴西版, 版本 2)"
afighterc,战斗任务 (FD1089B 317-未知)
afighterd,"战斗任务 (FD1089B 317-未知, analog controls)"
afighterh,"战斗任务 (System 16B, FD1089A 317-0018)"
afighterg,"战斗任务 (System 16B, FD1089B 317-未知)"
afighterf,"战斗任务 (System 16B, FD1089B 317-未知, analog controls)"
afightere,"战斗任务 (System 16B, 未保护版, analog controls)"
afightera,战斗任务 (无保护版)
afighterb,"战斗任务 (无保护版, 模拟控制)"
afighter,战斗任务 (FD1089A 317-0018)
spec_actionforce,暴逆先锋
spec_actionforce2,暴逆先锋 II
actionhw,好莱坞动作片
nes_actioinnewyor,最终任务 (欧版)
spec_actionreflex,反击大行动
md_ar,金手指 (欧版)
msx_actman,特技人 (日版)
msx_actmana,"特技人 (日版, 替换版)"
md_addfamv,阿达姆斯家庭 (欧版)
md_addfamvs,阿达姆斯家庭 (西班牙语翻译)
spec_addfamth,亚当斯一家 (128k)
nes_addamfam,亚当斯一家 (美版)
nes_addamfamc,亚当斯一家 (西班牙语翻译)
nes_addamfampugsschu,亚当斯一家 - 普格斯利的寻宝游戏 (美版)
nes_addamfampugsschuc,亚当斯一家 - 普格斯利的寻宝游戏 (西班牙语翻译)
msx_addictbl,砖球 (欧版)
msx_adel,阿德尔 (西班牙版)
fds_adiannotsue,亚迪安之杖 (日版)
spec_adichafo,阿迪达斯足球锦标赛 (128K)
md_gleylancs,光电领航员 (西班牙语翻译)
md_advdaisn,"大战略 - 德意志电击作战 (日版, 修正版 A)"
nes_advddds,龙与地下城 - 飞龙骑士 (美版)
nes_advdddsc,龙与地下城 - 飞龙骑士 (西班牙语翻译)
nes_advdddfj,龙与地下城 - 炎龙传说 (日版)
nes_advdddf,龙与地下城 - 炎龙传说 (英语翻译)
nes_advddhl,龙与地下城 - 长枪英雄 (美版)
nes_advddhlc,龙与地下城 - 长枪英雄 (西班牙语翻译)
nes_advddhllfr,龙与地下城 - 山之腰 (美版)
nes_advddpor,龙与地下城 - 光芒之池 (美版)
sms_herolanc,"高级龙与地下城 - 长枪英雄 (欧版, 巴西版)"
sms_herolancc,高级龙与地下城 - 长枪英雄 (西班牙语翻译)
spec_advlawn2,高级割草机模拟器 II (128K)
spec_advancedpinballsim,高级弹球模拟器 (128K)
pce_advislnd,冒险岛
nes_adventureisland,冒险岛 (美版)
nes_adventureislandc,冒险岛 (西班牙语翻译)
nes_advenisl3,冒险岛 III (美版)
nes_advenisl3c,冒险岛 III (西班牙语翻译)
nes_advenislii,冒险岛 II (美版)
nes_advenisliiu,冒险岛 II (美版)(Beta)
nes_advenisliic,冒险岛 II (西班牙语翻译)
nes_advenislivj,冒险岛 IV (日版)
nes_advenislivc,冒险岛 IV (西班牙语翻译)
nes_advenisliv,冒险岛 IV (英语翻译)
msx_advenkid,冒险小子
hatena,卡普空冒险问答 2 - 问号大冒险 (日版 900228)
cworld2j,冒险问答 卡普空世界 2 (920611 日版)
cworld2ja,"冒险问答 卡普空世界 2 (日版 920611, B-Board 90629B-3, 无电池)"
cworld2jb,"冒险问答 卡普空世界 2 (日版 920611, B-Board 91634B-2)"
nes_adveninmagkin,迪士尼魔术王国 (美版)
nes_advenbaybil,鳄鱼先生 (美版)
spec_buratino,布拉提诺历险记 (48K)
nes_advendinrik,新人类 (美版)
nes_advengilsisl,吉利根岛历险记 (美版)
nes_advenlol,洛洛历险记 (美版)
nes_advenlol2,洛洛历险记 2 (美版)
nes_advenlol3,洛洛历险记 3 (美版)
nes_advenradgra,拉德格莱维蒂历险记 (美版)
nes_advenrocandbulandfr,洛基和公牛与朋友的冒险 (美版)
nes_adventomsaw,汤姆索亚历险记 (美版)
md_adveboy,冒险小子 (中文版)
sms_aerialas,"空袭 (欧版, 巴西版)"
gg_aerialasj,"空袭 (日版, v1)"
sms_aerialasu,空袭 (美版)
gg_aerialas,"空袭 (世界版, v0)"
tg_aeroblst,疾风战机
pce_aeroblst,疾风战机
md_aeroblst,疾风战机 (日版)
aerofgt,四国战机
aerofgtb,四国战机 (涡轮力量硬件 第 1 套)
aerofgtc,四国战机 (涡轮力量硬件 第 2 套)
sonicwi2,四国战机 2 / 音速战机 2
sonicwi3,四国战机 3 / 音速战机 3
md_aero,飞翔蝙蝠 (欧版)
md_aerop,"飞翔蝙蝠 (欧版, 工程版)"
md_aeros,飞翔蝙蝠 (西班牙语翻译)
md_aerou,飞翔蝙蝠 (美版)
md_aero2,飞翔蝙蝠 2 (欧版)
md_aero2s,飞翔蝙蝠 2 (西班牙语翻译)
md_aero2u,飞翔蝙蝠 2 (美版)
md_aerobiz,航空霸业 (美版)
md_aerobizs,航空霸业 - 超音速版 (美版)
aeroboto,飞行机器人
aerolitos,爆破彗星 (西班牙版 盗版自 Asteroids)
aburner,冲破火网
msx_aburner,冲破火网 (欧版)
nes_afterburner,冲破火网
sms_aburner,冲破火网 (世界版)
pce_aburner2,冲破火网 II
aburner2,冲破火网 II
md_aburner2,"冲破火网 II (欧版, 美版)"
aburner2g,冲破火网 II (德国版)
md_aburner2s,冲破火网 II (西班牙语翻译)
nes_afterburnerii,冲破火网 II (日版)
md_aburner2j,冲破火网 II (日版)
spec_afterthewar1,战争之后 (第一部分)
spec_afterthewar2,战争之后 (第二部分)
spec_afterburner,冲破火网 (128K)
spec_aburner,冲破火网 (48K)
msx_afteroids,小行星群
spec_afteroids,小行星群 (西班牙版)
aoh,英雄时代 - 丝路 2 (版本 0.63 - 2001/02/07)
spec_agentorange,橙剂
superbon,超级庞德 (Scobra 硬件)
agentx1,"X 探员 (工程版, 修正版 1)"
agentx2,"X 探员 (工程版, 修正版 2)"
agentx3,"X 探员 (工程版, 修正版 3)"
agentx4,"X 探员 (工程版, 修正版 4)"
aodk,痛快 GANGAN 进行曲 (ADM-008)(ADH-008)
sms_agidooly,小恐龙杜利 (韩版)
agress,阿古雷司 - 导弹大战略
agressb,阿古雷司 - 导弹大战略 (英文盗版)
spec_ahdiddums,啊 小可怜
koshien,呜呼荣光甲子园 (日版)
fds_aisenshinicol,爱战士尼科鲁 (日版)
airass,空袭 (世界版)
airattck,空袭 (第 1 套)
airattcka,空袭 (第 2 套)
airbustrb,疾风战机 - 特别袭击队 (盗版)
airbustrj,疾风战机 - 特别袭击队 (日版)
md_airbustr,疾风战机 - 特别袭击队 (美版)
airbustr,疾风战机 - 特别袭击队 (世界版)
md_airdivers,空中霸王 (西班牙语翻译)
md_airdiverj,空中霸王 (日版)
md_airdiver,空中霸王 (美版)
airdueljm72,"空战双鹰 (日版, M72 硬件)"
airduelu,"空战双鹰 (测试美版, M82 硬件)"
airduelm72,"空战双鹰 (世界版, M72 硬件)"
airduel,"空战双鹰 (世界版, M82 硬件)"
nes_airfortress,空中要塞 (美版)
agallet,石破天惊 (欧版)
agalleth,石破天惊 (香港版)
agalletk,石破天惊 (韩版)
agalleta,"石破天惊 (较旧版, 欧版)"
agalletah,"石破天惊 (较旧版, 香港版)"
agalletak,"石破天惊 (较旧版, 韩版)"
agalletat,"石破天惊 (较旧版, 台湾版)"
agalletau,"石破天惊 (较旧版, 美版)"
agallett,石破天惊 (台湾版)
agalletu,石破天惊 (美版)
md_airmanag,航空霸业 - 在天空翱翔 (日版)
md_airmang2,航空霸业 II - 航空王 (日版)
sms_airresc,"空中援救 (欧版, 巴西版, 韩版)"
arescuej,空中营救 (日版)
arescueu,空中营救 (美版)
arescue,空中营救 (世界版)
tg_airzonk,PC 电人
spec_airborneranger,空降游骑兵
airwolf,飞狼
spec_airwolf,飞狼 (48K)
nes_airwolfj,飞狼 (日版)
nes_airwolft,飞狼 (英语翻译)
airwolfa,飞狼 (美版)
nes_airwolf,飞狼 (美版)
spec_airwolf2,飞狼 II (48K)
ajax,飓风直升机
ajaxj,飓风直升机 (日版)
fds_akitsunofusnoka,不可思议之壁 (日版)
nes_akiraj,阿基拉 (日版)
md_akirap,阿基拉 (工程版)
nes_akira,阿基拉 (英语翻译)
akkaarrh,阿克卡·阿赫 (工程版)
akkanvdr,糟糕的一天 (版本 2.5J 1995/06/14)
akumajoun,恶魔城 (日版 版本 N)
akumajou,恶魔城 (日版 版本 P)
nes_akumadenj,恶魔城传说 (日版)
nes_akumadenjc,恶魔城传说 (西班牙语翻译)
nes_akumadenc,"恶魔城传说 (中文翻译, 版本 2.3)"
nes_akumaden,恶魔城传说 (英语翻译)
nes_akumajoudracula,恶魔城 (日版)
fds_akumajoudraculaj,恶魔城 (日版)
nes_akumajoudraculac,恶魔城 (中文翻译)
fds_akumajoudracula,恶魔城 (英语翻译)
md_akumajo,恶魔城 - 吸血鬼猎人 (日版)
nes_akumaspe,恶魔城外传 - 少年德古拉君 (日版)
agalletj,石破天惊 (日版)
agalletaj,"石破天惊 (较旧版, 日版)"
fds_akuusenrai,亚空战记 (日版)
nes_alunsjrturra,小阿尔·恩瑟的涡轮增压赛车 (美版)
nes_aladdin,阿拉丁 (欧版)
nes_aladdin4,阿拉丁 4 (未授权)
md_aladdin2,阿拉丁 II
msx_albatros,双鹰球 (日版)
msx_albatrosa,"双鹰球 (日版, 替换版)"
spec_albertwolf,蓝狼阿尔贝托 (自制)
msx_alcazar,阿尔卡扎
cv_alcazar,阿尔卡扎 - 遗忘堡垒
spec_alchemist,炼金术士 (48K)
alcon,爱尔康战机
sgx_aldynes,霹雳风云
msx_alehop,阿乐跳行
sms_aleste,阿雷斯特战机 (日版)
sms_alesteiigg2sms,阿雷斯特战机 II GG (SMS 转换版)
md_alexkiddk,亚历克斯 - 天空魔城 (韩版)
sms_alexhitw,"亚历克斯 - 高科技世界 (欧版, 美版)"
sms_alexhitwc,亚历克斯 - 高科技世界 (西班牙语翻译)
sms_alexlost,亚历克斯 - 失落的星星 (世界版)
sms_alexlostc,亚历克斯 - 失落的星星 (西班牙语翻译)
sms_alexkidd3,"亚历克斯 3 - 奇迹世界的诅咒 (自制, 修改演示版-4)"
sms_alexkidd3f,"亚历克斯 3 - 奇迹世界的诅咒 (自制, 修改版 版本 3.0)"
sms_alexbmx,亚历克斯自行车越野选拔赛 (日版)
sms_alexbmxc,亚历克斯自行车越野选拔赛 (西班牙语翻译)
sms_alexkiddb,"亚历克斯在奇异世界 (巴西版, 版本 1, 盗版)"
sms_alexkidd1,"亚历克斯在奇异世界 (欧版, 美版, 版本 0)"
sms_alexkidd,"亚历克斯在奇异世界 (欧版, 美版, 版本 1)"
sms_alexkiddc,亚历克斯在奇异世界 (西班牙语翻译)
gg_alexkidd,"亚历克斯在奇异世界 (台湾版, SMS 模式)"
sms_alexkidd2,"亚历克斯在奇异世界 2 (自制, 修改版)"
sms_alexkiddrr,亚历克斯之轰鸣的拉达仙 (版本 1.5)
sms_alexshin,"亚历克斯在忍者世界 (欧版, 美版, 巴西版)"
sms_alexshinc,亚历克斯在忍者世界 (西班牙语翻译)
md_alexkidd1,亚历克斯在魔城 (欧版)
md_alexkidd,"亚历克斯在魔城 (欧版, 修正版 A)"
md_alexkidds,亚历克斯在魔城 (西班牙语翻译)
md_alexkiddj,亚历克斯在魔城 (日版)
md_alexkiddu,亚历克斯在魔城 (美版)
sms_alexkiddj,亚历克斯在奇异世界 (日版)
alexkidd1,"亚历克斯 - 失落的星星 (第 1 套, FD1089A 317-未知)"
alexkidd,"亚历克斯 - 失落的星星 (第 2 套, 无保护版)"
sms_alf,"家有阿福 (美版, 巴西版)"
nes_alfommagla,魔毯 (西班牙版)(修订 1)(Gluk Video)(未授权)
nes_alfonsarcadv,阿方索的北极冒险 (自制)
nes_alfredchicken,神险艾烈佛 (美版)
alibaba,阿里巴巴与四十大盗
msx_alibaba,阿里巴巴与四十大盗 (日版)
msx_alibabab,"阿里巴巴与四十大盗 (日版, 替换版 2)"
msx_alibabaa,"阿里巴巴与四十大盗 (日版, 替换版)"
sms_alibaba,阿里巴巴与四十大盗 (韩版)
sms_alien3,"异型 3 (欧版, 巴西版)"
sms_alien3c,异型 3 (西班牙语翻译)
gg_alien3,"异形 3 (欧版, 美版)"
md_alien3s,异形 3 (西班牙语翻译)
gg_alien3j,异形 3 (日版)
nes_alien3,异形3 (美版)
nes_alien3c,异形3 (西班牙语翻译)
spec_alien8,外星人 8 (48K)
msx_alien8,异形八号 (日版)
msx_alien8h,"异形八号 (日版, 修改版?)"
alienaru,异形竞技场 (Stargate 升级版)
alienar,异形竞技场 
alienchac,星宿会战 (中国版)
aliencha,星宿会战 (世界版)
tg_acrush,异形弹珠台
pce_acrush,异形弹珠台
spec_alienevolution,异形进化
spec_aliengirldemo,外星女孩 - 48k 演示 (自制)
alinvade,外星侵略者
chf_alieninv,外星人入侵
alienres,"外星人救援队 (自制, 2019-07 发布测试)"
aliensec,异形区域
md_aliensol,异形战士 (欧版)
md_aliensoli,异形战士 (意大利语翻译)
md_aliensols,异形战士 (西班牙语翻译)
md_aliensolj,异形战士 (日版)
spec_alienstorm,异形风暴 (128K)
sms_astorm,"异形风暴 (欧版, 巴西版)"
md_astorms,异形风暴 (西班牙语翻译)
astormjd,"异形风暴 (第 1 套, 日版 修正版 B, 2 人版, FD1094 317-0146 解密版)"
astormj,"异形风暴 (第 1 套, 日版 修正版 B, 2 人版, FD1094 317-0146)"
astormud,"异形风暴 (第 2 套, 美版, 3 人版, FD1094 317-0147 解密版)"
astormu,"异形风暴 (第 2 套, 美版, 3 人版, FD1094 317-0147)"
astorm3d,"异形风暴 (第 3 套, 世界版, 3 人版, FD1094 317-0148 解密版)"
astorm3,"异形风暴 (第 3 套, 世界版, 3 人版, FD1094 317-0148)"
astorm,"异形风暴 (第 4 套, 世界版, 2 人版, FD1094 317-0154)"
md_astorm,异形风暴 (世界版)
spec_aliensyn,异形入侵 (128K)
gg_aliensyn,"异形入侵 (欧版, 美版)"
sms_aliensyn,"异形入侵 (欧版, 美版, 巴西版)"
gg_aliensynj,异形入侵 (日版)
sms_aliensynj,异形入侵 (日版)
sms_aliensynp,异形入侵 (工程版)
aliensynjo,"异形入侵 (第 1 套, 日版, 旧版, 系统 16A, FD1089A 317-0033)"
aliensyn2,"异形入侵 (第 2 套, 系统 16A, FD1089A 317-0033)"
aliensyn3,"异形入侵 (第 3 套, 系统 16B, FD1089A 317-0033)"
aliensyn,"异形入侵 (第 4 套, 系统 16B, 无保护版)"
aliensyn5,"异形入侵 (第 5 套, 系统 16A, FD1089B 317-0037)"
aliensynj,"异形入侵 (第 6 套, 日版, 新版, 系统 16B, FD1089A 317-0033)"
aliensyn7,"异形入侵 (第 7 套, 系统 16B, MC-8123B 317-00xx)"
nes_aliensyndrome,异形入侵 (美版)
avspa,异形对铁血战士 (940520 亚洲版)
avspd,异形对铁血战士 (940520 欧版 凤凰版)
avsp,异形对铁血战士 (940520 欧版)
avsph,异形对铁血战士 (940520 西班牙版)
avspj,异形对铁血战士 (940520 日版)
avspu,异形对铁血战士 (940520 美版)
md_alien3a,"异形 3 (欧版, 美版)"
md_alien3,"异形 3 (欧版, 美版, 修正版 A)"
alien3j,异形3 (日版)
alien3u,#N/A
alien3,异形3 (世界版)
aliensa,异形 (亚洲版)
aliensj,异形 (日版 第 1 套)
aliensj2,异形 (日版 第 2 套)
aliensu,异形 (美版 第 1 套)
aliensu2,异形 (美版 第 2 套)
aliens,异形 (世界版 第 1 套)
aliens2,异形 (世界版 第 2 套)
aliens3,异形 (世界版 第 3 套)
fds_aliensfix,异形 - 异形 2 (修复版)
msx_aliens,异形 - 异形 2 (日版)
msx_aliensb,"异形 - 异形 2 (日版, 替换版 2)"
msx_aliensa,"异形 - 异形 2 (日版, 替换版)"
spec_aliensneo,外来肿瘤 (自制)
spec_aliensuk,异形 UK
spec_aliensus,异形 US
md_alisiad,龙骑士 (欧版)
md_alisiads,龙骑士 (西班牙语翻译)
md_alisiadj,龙骑士 (日版)
md_alisiadu,龙骑士 (美版)
spec_hlwpumpkin,南瓜的复兴 (自制)
fds_allnignipsupmabr,超级玛利欧黑夜版 (日版)
aligators,"鳄鱼猎人 (西班牙版, 保护版)"
aligatorun,"鳄鱼猎人 (无保护版, 第 1 套)"
aligatoruna,"鳄鱼猎人 (无保护版, 第 2 套)"
aligator,"鳄鱼猎人 (世界版, 保护版)"
nes_almosthero,差不多英雄 (自制)
msx_alphablaster,阿尔法战舰
alphaho,粉红赛车
alphamis,阿尔法任务
nes_alphamission,阿尔法任务 (美版)
alpham2,阿尔法任务 II - 最后的守护神 (NGM-007)(NGH-007)
alpham2p,阿尔法任务 II - 最后的守护神 (工程版)
alphaone,"阿尔法壹号 (工程版, 3 条命)"
alphaonea,"阿尔法壹号 (工程版, 5 条命)"
msx_aroid,阿尔法路德 (日版)
msx_aroida,"阿尔法路德 (日版, 替换版)"
cv_alphazoo,字母动物园
msx_alpineski,高山滑雪
alpine,高山滑雪 (第 1 套)
alpinea,高山滑雪 (第 2 套)
spec_alterego,化身 (自制)
msx_alterego,化身 (自制)
nes_alterego,化身 (自制)
spec_altbeast,兽王记 (128K)
altbeastbl,兽王记 (Datsu 盗版)
md_altbeast,"兽王记 (欧版, 美版)"
sms_altbeast,"兽王记 (欧版, 美版, 巴西版)"
md_altbeasts,兽王记 (西班牙语翻译)
altbeast2,"兽王记 (第 2 套, MC-8123B 317-0066)"
altbeast4,"兽王记 (第 4 套, MC-8123B 317-0066)"
altbeast5d,"兽王记 (第 5 套, FD1094 317-0069 解密版)"
altbeast5,"兽王记 (第 5 套, FD1094 317-0069)"
altbeast6,"兽王记 (第 6 套, 8751 317-0076)"
altbeast,"兽王记 (第 8 套, 8751 317-0078)"
msx_alteredbeast,兽王记
md_alterego,化身重制版 (自制)
nes_amagon,荒岛落难记 (美版)
cv_amazing,无敌弹跳人
nes_amazorundiej,守护骑士-亚马逊减肥大作战 (日版)
nes_amazorundie,守护骑士-亚马逊减肥大作战 (美版)
ambush,阿米巴契战机
ambushh,阿米巴契战机 (修改版?)
ambushj,阿米巴契战机 (日版)
ambushv,阿米巴契战机 (Volt Elec co-ltd)
anteaterg,食蚁兽 (德国版)
sms_ameribb,"美国棒球 (欧版, 巴西版)"
nes_americandreamj,美国梦 (日版)
nes_americandream,美国梦 (英语翻译)
nes_amerigla,美国电视斗士 (美版)
