99lstwar,Chinese Name,99 最后之战 (第 1 套)
99lstwara,Chinese Name,99 最后之战 (第 2 套)
99lstwarb,Chinese Name,99 最后之战 (盗版)
99lstwark,Chinese Name,99 最后之战 (Kyugo)
aa,Long Name,Alien Armada
abcop,Chinese Name,宇宙骑警 (世界版) (FD1094 317-0169b)
abcopd,Chinese Name,宇宙骑警 (世界版) (盗版自 FD1094 317-0169b set)
abcopj,Chinese Name,宇宙骑警 (日版) (FD1094 317-0169b)
abcopjd,Chinese Name,宇宙骑警 (日版) (盗版自 FD1094 317-0169b set)
ablast,Chinese Name,轰天雷 / 企鹅兄弟 (A-Blast) (日版)
abscam,Chinese Name,贿赂丑闻 
aburner,Chinese Name,冲破火网 
aburner2,Chinese Name,冲破火网 II 
aburner2g,Chinese Name,冲破火网 II (德版)
aceattac,Chinese Name,王牌攻击者 (FD1094 317-0059)
aceattaca,Chinese Name,王牌攻击者 (日版, System 16A, FD1094 317-0060)
acitya,Chinese Name,大西洋城扑克 
acrobatm,Chinese Name,风云战机 
actfancr,Chinese Name,战斗机器 (世界版 修正版 3)
actfancr1,Chinese Name,战斗机器 (世界版 修正版 1)
actfancr2,Chinese Name,战斗机器 (世界版 修正版 2)
actfancrj,Chinese Name,战斗机器 (日版 修正版 1)
actionhw,Chinese Name,动作好莱坞 
ad2083,Chinese Name,太空核战 2083 
aeroboto,Chinese Name,变形战机 Z Aeroboto 
aerofgt,Chinese Name,四国战机 (世界版 / 美版 + 加拿大版 / 韩版 / 港版 / 台版) (新硬件)
aerofgtb,Chinese Name,四国战机 (台版 / 日版, 第 1 套)
aerofgtc,Chinese Name,四国战机 (台版 / 日版, 第 2 套)
aerolitos,Chinese Name,爆破彗星 (西班牙版 盗版自 Asteroids)
afighter,Chinese Name,战斗任务 (FD1089A 317-0018)
afightera,Chinese Name,战斗任务 (未保护版)
afighterb,Chinese Name,战斗任务 (未保护版, analog controls)
afighterc,Chinese Name,战斗任务 (FD1089B 317-未知)
afighterd,Chinese Name,战斗任务 (FD1089B 317-未知, analog controls)
afightere,Chinese Name,战斗任务 (System 16B, 未保护版, analog controls)
afighterf,Chinese Name,战斗任务 (System 16B, FD1089B 317-未知, analog controls)
afighterg,Chinese Name,战斗任务 (System 16B, FD1089B 317-未知)
afighterh,Chinese Name,战斗任务 (System 16B, FD1089A 317-0018)
agallet,Chinese Name,石破天惊 (欧版)
agalleta,Chinese Name,石破天惊 (旧版, 欧版)
agalletah,Chinese Name,石破天惊 (旧版, 港版)
agalletaj,Chinese Name,石破天惊 (旧版, 日版)
agalletak,Chinese Name,石破天惊 (旧版, 韩版)
agalletat,Chinese Name,石破天惊 (旧版, 台版)
agalletau,Chinese Name,石破天惊 (旧版, 美版)
agalleth,Chinese Name,石破天惊 (港版)
agalletj,Chinese Name,石破天惊 (日版)
agalletk,Chinese Name,石破天惊 (韩版)
agallett,Chinese Name,石破天惊 (台版)
agalletu,Chinese Name,石破天惊 (美版)
agentx1,Chinese Name,斗篷与匕首 (原型版, 修正版 1)
agentx2,Chinese Name,斗篷与匕首 (原型版, 修正版 2)
agentx3,Chinese Name,斗篷与匕首 (原型版, 修正版 3)
agentx4,Chinese Name,斗篷与匕首 (原型版, 修正版 4)
agress,Chinese Name,阿古雷司 - 导弹大战略 (日版)
agressb,Chinese Name,阿古雷司 - 导弹大战略 (英版 盗版)
airass,Chinese Name,火爆战机 (世界版)
airattck,Chinese Name,空袭 (第 1 套)
airattcka,Chinese Name,空袭 (第 2 套)
airbustr,Chinese Name,空中堡垒 (世界版)
airbustrb,Chinese Name,空中堡垒 (盗版)
airbustrj,Chinese Name,空中堡垒 (日版)
airduel,Chinese Name,空战双鹰 (世界版, M82 硬件)
airdueljm72,Chinese Name,空战双鹰 (日版, M72 硬件)
airduelm72,Chinese Name,空战双鹰 (世界版, M72 硬件)
airduelu,Chinese Name,空战双鹰 (美版 location test, M82 硬件)
airwolf,Chinese Name,飞狼 
airwolfa,Chinese Name,飞狼 (美版)
ajax,Chinese Name,飓风直升机 
ajaxj,Chinese Name,飓风直升机 (日版)
akatana,Chinese Name,赤刀 (2010/ 8/13 主版.)
akiss,Chinese Name,麻将天使之吻 (版本 1.0)
akkaarrh,Long Name,Akka Arrh (prototype)
akkanvdr,Chinese Name,Q版宇宙侵略者 (版本 2.5J 1995/06/14)
akumajou,Chinese Name,恶魔城 (日版 版本 P)
akumajoun,Chinese Name,恶魔城 (日版 版本 N)
alcon,Chinese Name,电子作战 (美版)
alexkidd,Chinese Name,天空魔城 (第 2 套, 未保护版)
alexkidd1,Chinese Name,天空魔城 (第 1 套, FD1089A 317-0021)
alibaba,Chinese Name,阿里巴巴与四十大盗 
alibabab,Chinese Name,阿里巴巴与四十大盗 (盗版)
alien3,Chinese Name,异形 3 - 射击版 (世界版)
alien3j,Chinese Name,异形 3 - 射击版 (日版)
alien3u,Chinese Name,异形 3 - 射击版 (美版, 修正版 A)
alienar,Chinese Name,异形竞技场 
alienaru,Chinese Name,异形竞技场 (Stargate 升级版)
aliencha,Chinese Name,星宿会战 (世界版)
alienchac,Chinese Name,星宿会战 (中国版)
